age,embarked,fare,name,parch,passengerid,pclass,sex,sibsp,survived,test,ticket,train,family_size,title,ticket_number,group_size,family_size_cat,group_size_cat,is_alone,has_family,has_group,sex_0,sex_1,title_1,title_2,title_3,title_4,title_5,title_6,embarked_1,embarked_2,embarked_3,family_size_1,family_size_2,family_size_3,group_size_1,group_size_2,group_size_3,true_fare,true_fare_scaled,age_scaled,family_scaled,group_scaled
31.0,1.0,18.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,19,3,1,1,0,,345763,1.0,2,2,345763,2,2,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,9.0,0.0702685821361649,0.38619566578980336,0.1,0.1
35.0,2.0,7.225,"Masselmani, Mrs. Fatima",0,20,3,1,0,1,,2649,1.0,1,2,2649,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,7.22,0.05637101811367894,0.43630214205186024,0.0,0.0
35.0,1.0,26.0,"Fynney, Mr. Joseph J",0,21,2,0,0,0,,239865,1.0,1,1,239865,2,1,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,13.0,0.10149906308557151,0.43630214205186024,0.0,0.1
34.0,1.0,13.0,"Beesley, Mr. Lawrence",0,22,2,0,0,1,,248698,1.0,1,1,248698,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,13.0,0.10149906308557151,0.423775522986346,0.0,0.0
15.0,3.0,8.0292,"McGowan, Miss. Anna ""Annie""",0,23,3,1,0,1,,330923,1.0,1,3,330923,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,8.03,0.06269519050593378,0.18576976074157586,0.0,0.0
28.0,1.0,35.5,"Sloper, Mr. William Thompson",0,24,1,0,0,1,,113788,1.0,1,1,113788,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,35.5,0.2771705184259837,0.3486158085932607,0.0,0.0
8.0,1.0,21.075,"Palsson, Miss. Torborg Danira",1,25,3,1,3,0,,349909,1.0,5,3,349909,5,3,3,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,4.22,0.032948157401623976,0.09808342728297632,0.4,0.4
38.0,1.0,31.3875,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",5,26,3,1,1,1,,347077,1.0,7,2,347077,7,3,3,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,4.48,0.03497813866333541,0.4738819992484029,0.6000000000000001,0.6000000000000001
30.0,2.0,7.225,"Emir, Mr. Farred Chehab",0,27,3,0,0,0,,2631,1.0,1,1,2631,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.22,0.05637101811367894,0.37366904672428913,0.0,0.0
19.0,1.0,263.0,"Fortune, Mr. Charles Alexander",2,28,1,0,3,0,,19950,1.0,6,1,19950,6,3,3,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,43.83,0.342207995003123,0.23587623700363275,0.5000000000000001,0.5000000000000001
21.0,3.0,7.8792,"O'Dwyer, Miss. Ellen ""Nellie""",0,29,3,1,0,1,,330959,1.0,1,3,330959,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,7.88,0.061524047470331036,0.2609294751346612,0.0,0.0
30.0,1.0,7.8958,"Todoroff, Mr. Lalio",0,30,3,0,0,0,,349216,1.0,1,1,349216,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7.9,0.06168019987507807,0.37366904672428913,0.0,0.0
40.0,2.0,27.7208,"Uruchurtu, Don. Manuel E",0,31,1,0,0,0,,PC 17601,1.0,1,5,17601,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,27.72,0.21642723297938785,0.49893523737943135,0.0,0.0
35.0,2.0,146.5208,"Spencer, Mrs. William Augustus (Marie Eugenie)",0,32,1,1,1,1,,PC 17569,1.0,2,2,17569,3,2,2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,48.84,0.3813241723922548,0.43630214205186024,0.1,0.20000000000000004
21.0,3.0,7.75,"Glynn, Miss. Mary Agatha",0,33,3,1,0,1,,335677,1.0,1,3,335677,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,7.75,0.06050905683947532,0.2609294751346612,0.0,0.0
66.0,1.0,10.5,"Wheadon, Mr. Edward H",0,34,2,0,0,0,,C.A. 24579,1.0,1,1,24579,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10.5,0.08198001249219238,0.824627333082801,0.0,0.0
28.0,2.0,82.1708,"Meyer, Mr. Edgar Joseph",0,35,1,0,1,0,,PC 17604,1.0,2,1,17604,2,2,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,41.09,0.32081511555277953,0.3486158085932607,0.1,0.1
42.0,1.0,52.0,"Holverson, Mr. Alexander Oskar",0,36,1,0,1,0,,113789,1.0,2,1,113789,2,2,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,26.0,0.20299812617114302,0.5239884755104598,0.1,0.1
30.0,2.0,7.2292,"Mamee, Mr. Hanna",0,37,3,0,0,1,,2677,1.0,1,1,2677,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.23,0.05644909431605247,0.37366904672428913,0.0,0.0
21.0,1.0,8.05,"Cann, Mr. Ernest Charles",0,38,3,0,0,0,,A./5. 2152,1.0,1,1,2152,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.05,0.06285134291068083,0.2609294751346612,0.0,0.0
18.0,1.0,18.0,"Vander Planke, Miss. Augusta Maria",0,39,3,1,2,0,,345764,1.0,3,3,345764,2,2,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,9.0,0.0702685821361649,0.22334961793811853,0.20000000000000004,0.1
14.0,2.0,11.2417,"Nicola-Yarred, Miss. Jamila",0,40,3,1,1,1,,2651,1.0,2,3,2651,2,2,2,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,5.62,0.0438788257339163,0.17324314167606164,0.1,0.1
40.0,1.0,9.475,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,41,3,1,1,0,,7546,1.0,2,2,7546,1,2,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,9.48,0.07401623985009369,0.49893523737943135,0.1,0.0
27.0,1.0,21.0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,42,2,1,1,0,,11668,1.0,2,2,11668,2,2,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,10.5,0.08198001249219238,0.33608918952774647,0.1,0.1
30.0,2.0,7.8958,"Kraeff, Mr. Theodor",0,43,3,0,0,0,,349253,1.0,1,1,349253,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.9,0.06168019987507807,0.37366904672428913,0.0,0.0
3.0,2.0,41.5792,"Laroche, Miss. Simonne Marie Anne Andree",2,44,2,1,1,1,,SC/Paris 2123,1.0,4,3,2123,4,2,2,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,10.39,0.08112117426608369,0.035450331955405236,0.30000000000000004,0.30000000000000004
19.0,3.0,7.8792,"Devaney, Miss. Margaret Delia",0,45,3,1,0,1,,330958,1.0,1,3,330958,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,7.88,0.061524047470331036,0.23587623700363275,0.0,0.0
30.0,1.0,8.05,"Rogers, Mr. William John",0,46,3,0,0,0,,S.C./A.4. 23567,1.0,1,1,23567,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.05,0.06285134291068083,0.37366904672428913,0.0,0.0
30.0,3.0,15.5,"Lennon, Mr. Denis",0,47,3,0,1,0,,370371,1.0,2,1,370371,2,2,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,7.75,0.06050905683947532,0.37366904672428913,0.1,0.1
21.0,3.0,7.75,"O'Driscoll, Miss. Bridget",0,48,3,1,0,1,,14311,1.0,1,3,14311,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,7.75,0.06050905683947532,0.2609294751346612,0.0,0.0
30.0,2.0,21.6792,"Samaan, Mr. Youssef",0,49,3,0,2,0,,2662,1.0,3,1,2662,3,2,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7.23,0.05644909431605247,0.37366904672428913,0.20000000000000004,0.20000000000000004
18.0,1.0,17.8,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,50,3,1,1,0,,349237,1.0,2,2,349237,2,2,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,8.9,0.06948782011242972,0.22334961793811853,0.1,0.1
7.0,1.0,39.6875,"Panula, Master. Juha Niilo",1,51,3,0,4,0,,3101295,1.0,6,4,3101295,7,3,3,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,5.67,0.04426920674578388,0.0855568082174621,0.5000000000000001,0.6000000000000001
21.0,1.0,7.8,"Nosworthy, Mr. Richard Cater",0,52,3,0,0,0,,A/4. 39886,1.0,1,1,39886,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7.8,0.0608994378513429,0.2609294751346612,0.0,0.0
49.0,2.0,76.7292,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",0,53,1,1,1,1,,PC 17572,1.0,2,2,17572,3,2,2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,25.58,0.1997189256714553,0.6116748089690592,0.1,0.20000000000000004
29.0,1.0,26.0,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0,54,2,1,1,1,,2926,1.0,2,2,2926,2,2,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,13.0,0.10149906308557151,0.3611424276587749,0.1,0.1
65.0,2.0,61.9792,"Ostby, Mr. Engelhart Cornelius",1,55,1,0,0,0,,113509,1.0,2,1,113509,2,2,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,30.99,0.24195815115552777,0.8121007140172868,0.1,0.1
30.0,1.0,35.5,"Woolner, Mr. Hugh",0,56,1,0,0,1,,19947,1.0,1,1,19947,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,35.5,0.2771705184259837,0.37366904672428913,0.0,0.0
21.0,1.0,10.5,"Rugg, Miss. Emily",0,57,2,1,0,1,,C.A. 31026,1.0,1,3,31026,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,10.5,0.08198001249219238,0.2609294751346612,0.0,0.0
28.5,2.0,7.2292,"Novel, Mr. Mansouer",0,58,3,0,0,0,,2697,1.0,1,1,2697,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.23,0.05644909431605247,0.3548791181260178,0.0,0.0
5.0,1.0,27.75,"West, Miss. Constance Mirium",2,59,2,1,1,1,,C.A. 34651,1.0,4,3,34651,4,2,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,6.94,0.054184884447220485,0.06050357008643368,0.30000000000000004,0.30000000000000004
11.0,1.0,46.9,"Goodwin, Master. William Frederick",2,60,3,0,5,0,,CA 2144,1.0,8,4,2144,8,3,3,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,5.86,0.045752654590880695,0.135663284479519,0.7000000000000001,0.7000000000000001
22.0,2.0,7.2292,"Sirayanian, Mr. Orsen",0,61,3,0,0,0,,2669,1.0,1,1,2669,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.23,0.05644909431605247,0.2734560942001754,0.0,0.0
38.0,,80.0,"Icard, Miss. Amelie",0,62,1,1,0,1,,113572,1.0,1,3,113572,2,1,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,40.0,0.3123048094940662,0.4738819992484029,0.0,0.1
45.0,1.0,83.475,"Harris, Mr. Henry Birkhardt",0,63,1,0,1,0,,36973,1.0,2,1,36973,2,2,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.74,0.32589006870705806,0.5615683327070025,0.1,0.1
4.0,1.0,27.9,"Skoog, Master. Harald",2,64,3,0,3,0,,347088,1.0,6,4,347088,6,3,3,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,4.65,0.0363054341036852,0.04797695102091946,0.5000000000000001,0.5000000000000001
30.0,2.0,27.7208,"Stewart, Mr. Albert A",0,65,1,0,0,0,,PC 17605,1.0,1,1,17605,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,27.72,0.21642723297938785,0.37366904672428913,0.0,0.0
4.0,2.0,15.2458,"Moubarek, Master. Gerios",1,66,3,0,1,1,,2661,1.0,3,4,2661,3,2,2,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,5.08,0.039662710805746404,0.04797695102091946,0.20000000000000004,0.20000000000000004
29.0,1.0,10.5,"Nye, Mrs. (Elizabeth Ramell)",0,67,2,1,0,1,,C.A. 29395,1.0,1,2,29395,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,10.5,0.08198001249219238,0.3611424276587749,0.0,0.0
19.0,1.0,8.1583,"Crease, Mr. Ernest James",0,68,3,0,0,0,,S.P. 3464,1.0,1,1,3464,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.16,0.0637101811367895,0.23587623700363275,0.0,0.0
17.0,1.0,7.925,"Andersson, Miss. Erna Alexandra",2,69,3,1,4,1,,3101281,1.0,7,3,3101281,1,3,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,7.92,0.061836352279825105,0.2108229988726043,0.6000000000000001,0.0
26.0,1.0,8.6625,"Kink, Mr. Vincenz",0,70,3,0,2,0,,315151,1.0,3,1,315151,1,2,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,8.66,0.06761399125546533,0.32356257046223225,0.20000000000000004,0.0
32.0,1.0,10.5,"Jenkin, Mr. Stephen Curnow",0,71,2,0,0,0,,C.A. 33111,1.0,1,1,33111,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10.5,0.08198001249219238,0.3987222848553176,0.0,0.0
16.0,1.0,46.9,"Goodwin, Miss. Lillian Amy",2,72,3,1,5,0,,CA 2144,1.0,8,3,2144,8,3,3,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,5.86,0.045752654590880695,0.19829637980709008,0.7000000000000001,0.7000000000000001
21.0,1.0,73.5,"Hood, Mr. Ambrose Jr",0,73,2,0,0,0,,S.O.C. 14879,1.0,1,1,14879,7,1,3,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,10.5,0.08198001249219238,0.2609294751346612,0.0,0.6000000000000001
26.0,2.0,14.4542,"Chronopoulos, Mr. Apostolos",0,74,3,0,1,0,,2680,1.0,2,1,2680,2,2,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7.23,0.05644909431605247,0.32356257046223225,0.1,0.1
32.0,1.0,56.4958,"Bing, Mr. Lee",0,75,3,0,0,1,,1601,1.0,1,1,1601,8,1,3,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,7.06,0.05512179887570268,0.3987222848553176,0.0,0.7000000000000001
25.0,1.0,7.65,"Moen, Mr. Sigurd Hansen",0,76,3,0,0,0,,348123,1.0,1,1,348123,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7.65,0.05972829481574016,0.311035951396718,0.0,0.0
30.0,1.0,7.8958,"Staneff, Mr. Ivan",0,77,3,0,0,0,,349208,1.0,1,1,349208,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7.9,0.06168019987507807,0.37366904672428913,0.0,0.0
30.0,1.0,8.05,"Moutal, Mr. Rahamin Haim",0,78,3,0,0,0,,374746,1.0,1,1,374746,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.05,0.06285134291068083,0.37366904672428913,0.0,0.0
0.83,1.0,29.0,"Caldwell, Master. Alden Gates",2,79,2,0,0,1,,248738,1.0,3,4,248738,3,2,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,9.67,0.0754996876951905,0.008267568583239383,0.20000000000000004,0.20000000000000004
30.0,1.0,12.475,"Dowdell, Miss. Elizabeth",0,80,3,1,0,1,,364516,1.0,1,3,364516,2,1,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,6.24,0.048719550281074324,0.37366904672428913,0.0,0.1
22.0,1.0,9.0,"Waelens, Mr. Achille",0,81,3,0,0,0,,345767,1.0,1,1,345767,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,9.0,0.0702685821361649,0.2734560942001754,0.0,0.0
29.0,1.0,9.5,"Sheerlinck, Mr. Jan Baptist",0,82,3,0,0,1,,345779,1.0,1,1,345779,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,9.5,0.07417239225484072,0.3611424276587749,0.0,0.0
21.0,3.0,7.7875,"McDermott, Miss. Brigdet Delia",0,83,3,1,0,1,,330932,1.0,1,3,330932,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,7.79,0.06082136164896939,0.2609294751346612,0.0,0.0
28.0,1.0,47.1,"Carrau, Mr. Francisco M",0,84,1,0,0,0,,113059,1.0,1,1,113059,2,1,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,23.55,0.18386945658963147,0.3486158085932607,0.0,0.1
17.0,1.0,10.5,"Ilett, Miss. Bertha",0,85,2,1,0,1,,SO/C 14885,1.0,1,3,14885,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,10.5,0.08198001249219238,0.2108229988726043,0.0,0.0
33.0,1.0,15.85,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0,86,3,1,3,1,,3101278,1.0,4,2,3101278,2,2,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,7.92,0.061836352279825105,0.4112489039208318,0.30000000000000004,0.1
16.0,1.0,34.375,"Ford, Mr. William Neal",3,87,3,0,1,0,,W./C. 6608,1.0,5,1,6608,5,3,3,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6.88,0.05371642723297938,0.19829637980709008,0.4,0.4
30.0,1.0,8.05,"Slocovski, Mr. Selman Francis",0,88,3,0,0,0,,SOTON/OQ 392086,1.0,1,1,392086,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.05,0.06285134291068083,0.37366904672428913,0.0,0.0
23.0,1.0,263.0,"Fortune, Miss. Mabel Helen",2,89,1,1,3,1,,19950,1.0,6,3,19950,6,3,3,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,43.83,0.342207995003123,0.28598271326568964,0.5000000000000001,0.5000000000000001
24.0,1.0,8.05,"Celotti, Mr. Francesco",0,90,3,0,0,0,,343275,1.0,1,1,343275,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.05,0.06285134291068083,0.2985093323312038,0.0,0.0
29.0,1.0,8.05,"Christmann, Mr. Emil",0,91,3,0,0,0,,343276,1.0,1,1,343276,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.05,0.06285134291068083,0.3611424276587749,0.0,0.0
20.0,1.0,7.8542,"Andreasson, Mr. Paul Edvin",0,92,3,0,0,0,,347466,1.0,1,1,347466,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7.85,0.061289818863210485,0.24840285606914697,0.0,0.0
46.0,1.0,61.175,"Chaffee, Mr. Herbert Fuller",0,93,1,0,1,0,,W.E.P. 5734,1.0,2,1,5734,2,2,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,30.59,0.2388351030605871,0.5740949517725167,0.1,0.1
26.0,1.0,20.575,"Dean, Mr. Bertram Frank",2,94,3,0,1,0,,C.A. 2315,1.0,4,1,2315,4,2,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,5.14,0.0401311680199875,0.32356257046223225,0.30000000000000004,0.30000000000000004
59.0,1.0,7.25,"Coxon, Mr. Daniel",0,95,3,0,0,0,,364500,1.0,1,1,364500,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7.25,0.056605246720799494,0.7369409996242015,0.0,0.0
30.0,1.0,8.05,"Shorney, Mr. Charles Joseph",0,96,3,0,0,0,,374910,1.0,1,1,374910,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.05,0.06285134291068083,0.37366904672428913,0.0,0.0
71.0,2.0,34.6542,"Goldschmidt, Mr. George B",0,97,1,0,0,0,,PC 17754,1.0,1,1,17754,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,34.65,0.2705340412242348,0.8872604284103721,0.0,0.0
23.0,2.0,63.3583,"Greenfield, Mr. William Bertram",1,98,1,0,0,1,,PC 17759,1.0,2,1,17759,2,2,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,31.68,0.24734540911930042,0.28598271326568964,0.1,0.1
