,passengerid,survived,pclass,name,age,sibsp,parch,ticket,fare,embarked,family_size,sex_0,sex_1,title_1,title_2,title_3,title_4,title_5,title_6,title_7,ticket_number,passengers_per_ticket,true_fare,true_fare_scaled
19,20,1,3,"Masselmani, Mrs. Fatima",35.0,0,0,2649,7.225,3.0,1,0,1,0,1,0,0,0,0,0,2649,1,7.22,0.03255478402020019
20,21,0,2,"Fynney, Mr. Joseph J",35.0,0,0,239865,26.0,1.0,1,1,0,1,0,0,0,0,0,0,239865,2,13.0,0.058616647127784284
21,22,1,2,"Beesley, Mr. Lawrence",34.0,0,0,248698,13.0,1.0,1,1,0,1,0,0,0,0,0,0,248698,1,13.0,0.058616647127784284
22,23,1,3,"McGowan, Miss. Anna ""Annie""",15.0,0,0,330923,8.0292,2.0,1,0,1,0,0,1,0,0,0,0,330923,1,8.03,0.03620705203354675
23,24,1,1,"Sloper, Mr. William Thompson",28.0,0,0,113788,35.5,1.0,1,1,0,1,0,0,0,0,0,0,113788,1,35.5,0.16006853638741092
24,25,0,3,"Palsson, Miss. Torborg Danira",8.0,3,1,349909,21.075,1.0,5,0,1,0,0,1,0,0,0,0,349909,4,5.27,0.023762286951032552
25,26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,1,5,347077,31.3875,1.0,7,0,1,0,1,0,0,0,0,0,347077,4,7.85,0.03539543691946974
26,27,0,3,"Emir, Mr. Farred Chehab",30.0,0,0,2631,7.225,3.0,1,1,0,1,0,0,0,0,0,0,2631,1,7.22,0.03255478402020019
27,28,0,1,"Fortune, Mr. Charles Alexander",19.0,3,2,19950,263.0,1.0,6,1,0,1,0,0,0,0,0,0,19950,4,65.75,0.296464965280909
28,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",21.0,0,0,330959,7.8792,2.0,1,0,1,0,0,1,0,0,0,0,330959,1,7.88,0.035530706105149246
29,30,0,3,"Todoroff, Mr. Lalio",30.0,0,0,349216,7.8958,1.0,1,1,0,1,0,0,0,0,0,0,349216,1,7.9,0.03562088556226891
30,31,0,1,"Uruchurtu, Don. Manuel E",40.0,0,0,PC 17601,27.7208,3.0,1,1,0,0,0,0,0,1,0,0,17601,1,27.72,0.12498872756786003
31,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",35.0,1,0,PC 17569,146.5208,3.0,2,0,1,0,1,0,0,0,0,0,17569,2,73.26,0.3303273514293444
32,33,1,3,"Glynn, Miss. Mary Agatha",21.0,0,0,335677,7.75,2.0,1,0,1,0,0,1,0,0,0,0,335677,1,7.75,0.0349445396338714
33,34,0,2,"Wheadon, Mr. Edward H",66.0,0,0,C.A. 24579,10.5,1.0,1,1,0,1,0,0,0,0,0,0,24579,1,10.5,0.04734421498782577
34,35,0,1,"Meyer, Mr. Edgar Joseph",28.0,1,0,PC 17604,82.1708,3.0,2,1,0,1,0,0,0,0,0,0,17604,2,41.09,0.18527369465235818
35,36,0,1,"Holverson, Mr. Alexander Oskar",42.0,1,0,113789,52.0,1.0,2,1,0,1,0,0,0,0,0,0,113789,2,26.0,0.11723329425556857
36,37,1,3,"Mamee, Mr. Hanna",30.0,0,0,2677,7.2292,3.0,1,1,0,1,0,0,0,0,0,0,2677,1,7.23,0.032599873748760035
37,38,0,3,"Cann, Mr. Ernest Charles",21.0,0,0,A./5. 2152,8.05,1.0,1,1,0,1,0,0,0,0,0,0,2152,1,8.05,0.03629723149066642
38,39,0,3,"Vander Planke, Miss. Augusta Maria",18.0,2,0,345764,18.0,1.0,3,0,1,0,0,1,0,0,0,0,345764,2,9.0,0.04058075570385066
39,40,1,3,"Nicola-Yarred, Miss. Jamila",14.0,1,0,2651,11.2417,3.0,2,0,1,0,0,1,0,0,0,0,2651,2,5.62,0.025340427450626746
40,41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,1,0,7546,9.475,1.0,2,0,1,0,1,0,0,0,0,0,7546,1,9.48,0.042745062674722695
41,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,1,0,11668,21.0,1.0,2,0,1,0,1,0,0,0,0,0,11668,2,10.5,0.04734421498782577
42,43,0,3,"Kraeff, Mr. Theodor",30.0,0,0,349253,7.8958,3.0,1,1,0,1,0,0,0,0,0,0,349253,1,7.9,0.03562088556226891
43,44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",3.0,1,2,SC/Paris 2123,41.5792,3.0,4,0,1,0,0,1,0,0,0,0,2123,3,13.86,0.062494363783930015
44,45,1,3,"Devaney, Miss. Margaret Delia",19.0,0,0,330958,7.8792,2.0,1,0,1,0,0,1,0,0,0,0,330958,1,7.88,0.035530706105149246
45,46,0,3,"Rogers, Mr. William John",30.0,0,0,S.C./A.4. 23567,8.05,1.0,1,1,0,1,0,0,0,0,0,0,23567,1,8.05,0.03629723149066642
46,47,0,3,"Lennon, Mr. Denis",30.0,1,0,370371,15.5,2.0,2,1,0,1,0,0,0,0,0,0,370371,1,15.5,0.0698890792677428
47,48,1,3,"O'Driscoll, Miss. Bridget",21.0,0,0,14311,7.75,2.0,1,0,1,0,0,1,0,0,0,0,14311,1,7.75,0.0349445396338714
48,49,0,3,"Samaan, Mr. Youssef",30.0,2,0,2662,21.6792,3.0,3,1,0,1,0,0,0,0,0,0,2662,1,21.68,0.09775453151772025
49,50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,1,0,349237,17.8,1.0,2,0,1,0,1,0,0,0,0,0,349237,2,8.9,0.04012985841825232
50,51,0,3,"Panula, Master. Juha Niilo",7.0,4,1,3101295,39.6875,1.0,6,1,0,0,0,0,1,0,0,0,3101295,6,6.61,0.02980431057805032
51,52,0,3,"Nosworthy, Mr. Richard Cater",21.0,0,0,A/4. 39886,7.8,1.0,1,1,0,1,0,0,0,0,0,0,39886,1,7.8,0.03516998827667057
52,53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,1,0,PC 17572,76.7292,3.0,2,0,1,0,1,0,0,0,0,0,17572,3,25.58,0.11533952565605553
53,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,1,0,2926,26.0,1.0,2,0,1,0,1,0,0,0,0,0,2926,1,26.0,0.11723329425556857
54,55,0,1,"Ostby, Mr. Engelhart Cornelius",65.0,0,1,113509,61.9792,3.0,2,1,0,1,0,0,0,0,0,0,113509,1,61.98,0.27946613761385153
55,56,1,1,"Woolner, Mr. Hugh",30.0,0,0,19947,35.5,1.0,1,1,0,1,0,0,0,0,0,0,19947,1,35.5,0.16006853638741092
56,57,1,2,"Rugg, Miss. Emily",21.0,0,0,C.A. 31026,10.5,1.0,1,0,1,0,0,1,0,0,0,0,31026,1,10.5,0.04734421498782577
57,58,0,3,"Novel, Mr. Mansouer",28.5,0,0,2697,7.2292,3.0,1,1,0,1,0,0,0,0,0,0,2697,1,7.23,0.032599873748760035
58,59,1,2,"West, Miss. Constance Mirium",5.0,1,2,C.A. 34651,27.75,1.0,4,0,1,0,0,1,0,0,0,0,34651,3,9.25,0.04170799891784651
59,60,0,3,"Goodwin, Master. William Frederick",11.0,5,2,CA 2144,46.9,1.0,8,1,0,0,0,0,1,0,0,0,2144,6,7.82,0.03526016773379024
60,61,0,3,"Sirayanian, Mr. Orsen",22.0,0,0,2669,7.2292,3.0,1,1,0,1,0,0,0,0,0,0,2669,1,7.23,0.032599873748760035
61,62,1,1,"Icard, Miss. Amelie",38.0,0,0,113572,80.0,,1,0,1,0,0,1,0,0,0,0,113572,2,40.0,0.18035891423933625
62,63,0,1,"Harris, Mr. Henry Birkhardt",45.0,1,0,36973,83.475,1.0,2,1,0,1,0,0,0,0,0,0,36973,2,41.74,0.1882045270087474
63,64,0,3,"Skoog, Master. Harald",4.0,3,2,347088,27.9,1.0,6,1,0,0,0,0,1,0,0,0,347088,6,4.65,0.02096672378032284
64,65,0,1,"Stewart, Mr. Albert A",30.0,0,0,PC 17605,27.7208,3.0,1,1,0,1,0,0,0,0,0,0,17605,1,27.72,0.12498872756786003
65,66,1,3,"Moubarek, Master. Gerios",4.0,1,1,2661,15.2458,3.0,3,1,0,0,0,0,1,0,0,0,2661,2,7.62,0.03435837316259356
66,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",29.0,0,0,C.A. 29395,10.5,1.0,1,0,1,0,1,0,0,0,0,0,29395,1,10.5,0.04734421498782577
67,68,0,3,"Crease, Mr. Ernest James",19.0,0,0,S.P. 3464,8.1583,1.0,1,1,0,1,0,0,0,0,0,0,3464,1,8.16,0.0367932185048246
68,69,1,3,"Andersson, Miss. Erna Alexandra",17.0,4,2,3101281,7.925,1.0,7,0,1,0,0,1,0,0,0,0,3101281,1,7.92,0.03571106501938858
69,70,0,3,"Kink, Mr. Vincenz",26.0,2,0,315151,8.6625,1.0,3,1,0,1,0,0,0,0,0,0,315151,1,8.66,0.0390477049328163
70,71,0,2,"Jenkin, Mr. Stephen Curnow",32.0,0,0,C.A. 33111,10.5,1.0,1,1,0,1,0,0,0,0,0,0,33111,1,10.5,0.04734421498782577
71,72,0,3,"Goodwin, Miss. Lillian Amy",16.0,5,2,CA 2144,46.9,1.0,8,0,1,0,0,1,0,0,0,0,2144,6,7.82,0.03526016773379024
72,73,0,2,"Hood, Mr. Ambrose Jr",21.0,0,0,S.O.C. 14879,73.5,1.0,1,1,0,1,0,0,0,0,0,0,14879,5,14.7,0.06628190098295607
73,74,0,3,"Chronopoulos, Mr. Apostolos",26.0,1,0,2680,14.4542,3.0,2,1,0,1,0,0,0,0,0,0,2680,1,14.45,0.06515465776896022
74,75,1,3,"Bing, Mr. Lee",32.0,0,0,1601,56.4958,1.0,1,1,0,1,0,0,0,0,0,0,1601,7,8.07,0.036387410947786095
75,76,0,3,"Moen, Mr. Sigurd Hansen",25.0,0,0,348123,7.65,1.0,1,1,0,1,0,0,0,0,0,0,348123,1,7.65,0.03449364234827306
76,77,0,3,"Staneff, Mr. Ivan",30.0,0,0,349208,7.8958,1.0,1,1,0,1,0,0,0,0,0,0,349208,1,7.9,0.03562088556226891
77,78,0,3,"Moutal, Mr. Rahamin Haim",30.0,0,0,374746,8.05,1.0,1,1,0,1,0,0,0,0,0,0,374746,1,8.05,0.03629723149066642
78,79,1,2,"Caldwell, Master. Alden Gates",0.83,0,2,248738,29.0,1.0,3,1,0,0,0,0,1,0,0,0,248738,2,14.5,0.0653801064117594
79,80,1,3,"Dowdell, Miss. Elizabeth",30.0,0,0,364516,12.475,1.0,1,0,1,0,0,1,0,0,0,0,364516,2,6.24,0.028135990621336458
80,81,0,3,"Waelens, Mr. Achille",22.0,0,0,345767,9.0,1.0,1,1,0,1,0,0,0,0,0,0,345767,1,9.0,0.04058075570385066
81,82,1,3,"Sheerlinck, Mr. Jan Baptist",29.0,0,0,345779,9.5,1.0,1,1,0,1,0,0,0,0,0,0,345779,1,9.5,0.04283524213184236
82,83,1,3,"McDermott, Miss. Brigdet Delia",21.0,0,0,330932,7.7875,2.0,1,0,1,0,0,1,0,0,0,0,330932,1,7.79,0.03512489854811074
83,84,0,1,"Carrau, Mr. Francisco M",28.0,0,0,113059,47.1,1.0,1,1,0,1,0,0,0,0,0,0,113059,1,47.1,0.21237262151681846
84,85,1,2,"Ilett, Miss. Bertha",17.0,0,0,SO/C 14885,10.5,1.0,1,0,1,0,0,1,0,0,0,0,14885,1,10.5,0.04734421498782577
85,86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,3,0,3101278,15.85,1.0,4,0,1,0,1,0,0,0,0,0,3101278,2,7.92,0.03571106501938858
86,87,0,3,"Ford, Mr. William Neal",16.0,1,3,W./C. 6608,34.375,1.0,5,1,0,1,0,0,0,0,0,0,6608,4,8.59,0.038732076832897464
87,88,0,3,"Slocovski, Mr. Selman Francis",30.0,0,0,SOTON/OQ 392086,8.05,1.0,1,1,0,1,0,0,0,0,0,0,392086,1,8.05,0.03629723149066642
88,89,1,1,"Fortune, Miss. Mabel Helen",23.0,3,2,19950,263.0,1.0,6,0,1,0,0,1,0,0,0,0,19950,4,65.75,0.296464965280909
89,90,0,3,"Celotti, Mr. Francesco",24.0,0,0,343275,8.05,1.0,1,1,0,1,0,0,0,0,0,0,343275,1,8.05,0.03629723149066642
90,91,0,3,"Christmann, Mr. Emil",29.0,0,0,343276,8.05,1.0,1,1,0,1,0,0,0,0,0,0,343276,1,8.05,0.03629723149066642
91,92,0,3,"Andreasson, Mr. Paul Edvin",20.0,0,0,347466,7.8542,1.0,1,1,0,1,0,0,0,0,0,0,347466,1,7.85,0.03539543691946974
92,93,0,1,"Chaffee, Mr. Herbert Fuller",46.0,1,0,W.E.P. 5734,61.175,1.0,2,1,0,1,0,0,0,0,0,0,5734,1,61.18,0.2758589593290648
93,94,0,3,"Dean, Mr. Bertram Frank",26.0,1,2,C.A. 2315,20.575,1.0,4,1,0,1,0,0,0,0,0,0,2315,2,10.29,0.04639733068806925
94,95,0,3,"Coxon, Mr. Daniel",59.0,0,0,364500,7.25,1.0,1,1,0,1,0,0,0,0,0,0,364500,1,7.25,0.0326900532058797
95,96,0,3,"Shorney, Mr. Charles Joseph",30.0,0,0,374910,8.05,1.0,1,1,0,1,0,0,0,0,0,0,374910,1,8.05,0.03629723149066642
96,97,0,1,"Goldschmidt, Mr. George B",71.0,0,0,PC 17754,34.6542,3.0,1,1,0,1,0,0,0,0,0,0,17754,1,34.65,0.15623590945982502
97,98,1,1,"Greenfield, Mr. William Bertram",23.0,0,1,PC 17759,63.3583,3.0,2,1,0,1,0,0,0,0,0,0,17759,1,63.36,0.28568852015510865
98,99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",34.0,0,1,231919,23.0,1.0,2,0,1,0,1,0,0,0,0,0,231919,2,11.5,0.05185318784380918
99,100,0,2,"Kantor, Mr. Sinai",34.0,1,0,244367,26.0,1.0,2,1,0,1,0,0,0,0,0,0,244367,2,13.0,0.058616647127784284
100,101,0,3,"Petranec, Miss. Matilda",28.0,0,0,349245,7.8958,1.0,1,0,1,0,0,1,0,0,0,0,349245,1,7.9,0.03562088556226891
101,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",30.0,0,0,349215,7.8958,1.0,1,1,0,1,0,0,0,0,0,0,349215,1,7.9,0.03562088556226891
102,103,0,1,"White, Mr. Richard Frasar",21.0,0,1,35281,77.2875,1.0,2,1,0,1,0,0,0,0,0,0,35281,2,38.64,0.17422671115519883
103,104,0,3,"Johansson, Mr. Gustaf Joel",33.0,0,0,7540,8.6542,1.0,1,1,0,1,0,0,0,0,0,0,7540,1,8.65,0.03900261520425647
104,105,0,3,"Gustafsson, Mr. Anders Vilhelm",37.0,2,0,3101276,7.925,1.0,3,1,0,1,0,0,0,0,0,0,3101276,1,7.92,0.03571106501938858
105,106,0,3,"Mionoff, Mr. Stoytcho",28.0,0,0,349207,7.8958,1.0,1,1,0,1,0,0,0,0,0,0,349207,1,7.9,0.03562088556226891
106,107,1,3,"Salkjelsvik, Miss. Anna Kristine",21.0,0,0,343120,7.65,1.0,1,0,1,0,0,1,0,0,0,0,343120,1,7.65,0.03449364234827306
107,108,1,3,"Moss, Mr. Albert Johan",30.0,0,0,312991,7.775,1.0,1,1,0,1,0,0,0,0,0,0,312991,1,7.78,0.0350798088195509
108,109,0,3,"Rekic, Mr. Tido",38.0,0,0,349249,7.8958,1.0,1,1,0,1,0,0,0,0,0,0,349249,1,7.9,0.03562088556226891
109,110,1,3,"Moran, Miss. Bertha",21.0,1,0,371110,24.15,2.0,2,0,1,0,0,1,0,0,0,0,371110,3,8.05,0.03629723149066642
110,111,0,1,"Porter, Mr. Walter Chamberlain",47.0,0,0,110465,52.0,1.0,1,1,0,1,0,0,0,0,0,0,110465,2,26.0,0.11723329425556857
111,112,0,3,"Zabour, Miss. Hileni",14.5,1,0,2665,14.4542,3.0,2,0,1,0,0,1,0,0,0,0,2665,2,7.23,0.032599873748760035
112,113,0,3,"Barton, Mr. David John",22.0,0,0,324669,8.05,1.0,1,1,0,1,0,0,0,0,0,0,324669,1,8.05,0.03629723149066642
113,114,0,3,"Jussila, Miss. Katriina",20.0,1,0,4136,9.825,1.0,2,0,1,0,0,1,0,0,0,0,4136,1,9.82,0.04427811344575705
114,115,0,3,"Attalah, Miss. Malake",17.0,0,0,2627,14.4583,3.0,1,0,1,0,0,1,0,0,0,0,2627,2,7.23,0.032599873748760035
115,116,0,3,"Pekoniemi, Mr. Edvard",21.0,0,0,STON/O 2. 3101294,7.925,1.0,1,1,0,1,0,0,0,0,0,0,3101294,1,7.92,0.03571106501938858
116,117,0,3,"Connors, Mr. Patrick",70.5,0,0,370369,7.75,2.0,1,1,0,1,0,0,0,0,0,0,370369,1,7.75,0.0349445396338714
117,118,0,2,"Turpin, Mr. William John Robert",29.0,1,0,11668,21.0,1.0,2,1,0,1,0,0,0,0,0,0,11668,2,10.5,0.04734421498782577
118,119,0,1,"Baxter, Mr. Quigg Edmond",24.0,0,1,PC 17558,247.5208,3.0,2,1,0,1,0,0,0,0,0,0,17558,2,123.76,0.5580304806565064
119,120,0,3,"Andersson, Miss. Ellis Anna Maria",2.0,4,2,347082,31.275,1.0,7,0,1,0,0,1,0,0,0,0,347082,7,4.47,0.020155108666245827
120,121,0,2,"Hickman, Mr. Stanley George",21.0,2,0,S.O.C. 14879,73.5,1.0,3,1,0,1,0,0,0,0,0,0,14879,5,14.7,0.06628190098295607
121,122,0,3,"Moore, Mr. Leonard Charles",30.0,0,0,A4. 54510,8.05,1.0,1,1,0,1,0,0,0,0,0,0,54510,1,8.05,0.03629723149066642
122,123,0,2,"Nasser, Mr. Nicholas",32.5,1,0,237736,30.0708,3.0,2,1,0,1,0,0,0,0,0,0,237736,2,15.04,0.06781495175399042
123,124,1,2,"Webber, Miss. Susan",32.5,0,0,27267,13.0,1.0,1,0,1,0,0,1,0,0,0,0,27267,1,13.0,0.058616647127784284
124,125,0,1,"White, Mr. Percival Wayland",54.0,0,1,35281,77.2875,1.0,2,1,0,1,0,0,0,0,0,0,35281,2,38.64,0.17422671115519883
125,126,1,3,"Nicola-Yarred, Master. Elias",12.0,1,0,2651,11.2417,3.0,2,1,0,0,0,0,1,0,0,0,2651,2,5.62,0.025340427450626746
126,127,0,3,"McMahon, Mr. Martin",30.0,0,0,370372,7.75,2.0,1,1,0,1,0,0,0,0,0,0,370372,1,7.75,0.0349445396338714
127,128,1,3,"Madsen, Mr. Fridtjof Arne",24.0,0,0,C 17369,7.1417,1.0,1,1,0,1,0,0,0,0,0,0,17369,1,7.14,0.03219406619172152
128,129,1,3,"Peter, Miss. Anna",21.0,1,1,2668,22.3583,3.0,3,0,1,0,0,1,0,0,0,0,2668,2,11.18,0.050410316529894486
129,130,0,3,"Ekstrom, Mr. Johan",45.0,0,0,347061,6.975,1.0,1,1,0,1,0,0,0,0,0,0,347061,1,6.98,0.03147263053476418
130,131,0,3,"Drazenoic, Mr. Jozef",33.0,0,0,349241,7.8958,3.0,1,1,0,1,0,0,0,0,0,0,349241,1,7.9,0.03562088556226891
131,132,0,3,"Coelho, Mr. Domingos Fernandeo",20.0,0,0,SOTON/O.Q. 3101307,7.05,1.0,1,1,0,1,0,0,0,0,0,0,3101307,1,7.05,0.031788258634683014
132,133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0,1,0,A/5. 3337,14.5,1.0,2,0,1,0,1,0,0,0,0,0,3337,1,14.5,0.0653801064117594
133,134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,1,0,228414,26.0,1.0,2,0,1,0,1,0,0,0,0,0,228414,1,26.0,0.11723329425556857
134,135,0,2,"Sobey, Mr. Samuel James Hayden",25.0,0,0,C.A. 29178,13.0,1.0,1,1,0,1,0,0,0,0,0,0,29178,1,13.0,0.058616647127784284
135,136,0,2,"Richard, Mr. Emile",23.0,0,0,SC/PARIS 2133,15.0458,3.0,1,1,0,1,0,0,0,0,0,0,2133,1,15.05,0.06786004148255027
136,137,1,1,"Newsom, Miss. Helen Monypeny",19.0,0,2,11752,26.2833,1.0,3,0,1,0,0,1,0,0,0,0,11752,1,26.28,0.11849580665524392
137,138,0,1,"Futrelle, Mr. Jacques Heath",37.0,1,0,113803,53.1,1.0,2,1,0,1,0,0,0,0,0,0,113803,2,26.55,0.11971322932635944
138,139,0,3,"Osen, Mr. Olaf Elon",16.0,0,0,7534,9.2167,1.0,1,1,0,1,0,0,0,0,0,0,7534,2,4.61,0.020786364866083505
139,140,0,1,"Giglio, Mr. Victor",24.0,0,0,PC 17593,79.2,3.0,1,1,0,1,0,0,0,0,0,0,17593,2,39.6,0.1785553250969429
140,141,0,3,"Boulos, Mrs. Joseph (Sultana)",35.0,0,2,2678,15.2458,3.0,3,0,1,0,1,0,0,0,0,0,2678,2,7.62,0.03435837316259356
141,142,1,3,"Nysten, Miss. Anna Sofia",22.0,0,0,347081,7.75,1.0,1,0,1,0,0,1,0,0,0,0,347081,1,7.75,0.0349445396338714
142,143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,1,0,STON/O2. 3101279,15.85,1.0,2,0,1,0,1,0,0,0,0,0,3101279,2,7.92,0.03571106501938858
143,144,0,3,"Burke, Mr. Jeremiah",19.0,0,0,365222,6.75,2.0,1,1,0,1,0,0,0,0,0,0,365222,1,6.75,0.030435566777887994
144,145,0,2,"Andrew, Mr. Edgardo Samuel",18.0,0,0,231945,11.5,1.0,1,1,0,1,0,0,0,0,0,0,231945,1,11.5,0.05185318784380918
145,146,0,2,"Nicholls, Mr. Joseph Charles",19.0,1,1,C.A. 33112,36.75,1.0,3,1,0,1,0,0,0,0,0,0,33112,2,18.38,0.082874921092975
146,147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,0,0,350043,7.7958,1.0,1,1,0,1,0,0,0,0,0,0,350043,1,7.8,0.03516998827667057
147,148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",9.0,2,2,W./C. 6608,34.375,1.0,5,0,1,0,0,1,0,0,0,0,6608,4,8.59,0.038732076832897464
148,149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,0,2,230080,26.0,1.0,3,1,0,1,0,0,0,0,0,0,230080,3,8.67,0.039092794661376135
149,150,0,2,"Byles, Rev. Thomas Roussel Davids",42.0,0,0,244310,13.0,1.0,1,1,0,0,0,0,0,0,1,0,244310,1,13.0,0.058616647127784284
150,151,0,2,"Bateman, Rev. Robert James",51.0,0,0,S.O.P. 1166,12.525,1.0,1,1,0,0,0,0,0,0,1,0,1166,1,12.52,0.05645234015691225
151,152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",22.0,1,0,113776,66.6,1.0,2,0,1,0,1,0,0,0,0,0,113776,2,33.3,0.15014879610424742
152,153,0,3,"Meo, Mr. Alfonzo",55.5,0,0,A.5. 11206,8.05,1.0,1,1,0,1,0,0,0,0,0,0,11206,1,8.05,0.03629723149066642
153,154,0,3,"van Billiard, Mr. Austin Blyler",40.5,0,2,A/5. 851,14.5,1.0,3,1,0,1,0,0,0,0,0,0,851,1,14.5,0.0653801064117594
154,155,0,3,"Olsen, Mr. Ole Martin",30.0,0,0,Fa 265302,7.3125,1.0,1,1,0,1,0,0,0,0,0,0,265302,1,7.31,0.0329605915772387
155,156,0,1,"Williams, Mr. Charles Duane",51.0,0,1,PC 17597,61.3792,3.0,2,1,0,1,0,0,0,0,0,0,17597,1,61.38,0.2767607539002615
156,157,1,3,"Gilnagh, Miss. Katherine ""Katie""",16.0,0,0,35851,7.7333,2.0,1,0,1,0,0,1,0,0,0,0,35851,1,7.73,0.03485436017675173
157,158,0,3,"Corn, Mr. Harry",30.0,0,0,SOTON/OQ 392090,8.05,1.0,1,1,0,1,0,0,0,0,0,0,392090,1,8.05,0.03629723149066642
158,159,0,3,"Smiljanic, Mr. Mile",30.0,0,0,315037,8.6625,1.0,1,1,0,1,0,0,0,0,0,0,315037,1,8.66,0.0390477049328163
159,160,0,3,"Sage, Master. Thomas Henry",4.0,8,2,CA. 2343,69.55,1.0,11,1,0,0,0,0,1,0,0,0,2343,7,9.94,0.04481919018847506
